District,State,Agency_ID,Students,TOTALREV,TLOCREV,TSTREV,TFEDREV,TOTALEXP,TOTALREV_PUPIL,TLOCREV_PUPIL,TSTREV_PUPIL,TFEDREV_PUPIL
WESTFIELD CENTRAL SCHOOL DISTRICT,New York,3630990,673,15439000,5076000,9758000,605000,14955000,22941,7542,14499,899
ALLEN VILLAGE,Missouri,2900025,672,9828000,920000,7747000,1161000,8005000,14625,1369,11528,1728
BROOKLYN DREAMS CHARTER SCHOOL,New York,3601015,672,,,,,,,,,
CCSD 180,Illinois,1730510,672,14124000,8007000,4295000,1822000,13603000,21018,11915,6391,2711
CENTERVILLE ISD,Texas,4813410,672,8098000,5838000,1939000,321000,20953000,12051,8688,2885,478
DE LEON ISD,Texas,4816440,672,8373000,2672000,4400000,1301000,7753000,12460,3976,6548,1936
ESTANCIA MUNICIPAL SCHOOLS,New Mexico,3500930,672,9398000,1140000,7394000,864000,9125000,13985,1696,11003,1286
HAZEN SCHOOL DISTRICT,Arkansas,507530,672,6739000,2732000,3311000,696000,6821000,10028,4065,4927,1036
LYNDON SCHOOL DISTRICT,Vermont,5005310,672,12419000,324000,11931000,164000,12228000,18481,482,17754,244
NEMAHA CENTRAL,Kansas,2000353,672,6518000,1900000,4342000,276000,6755000,9699,2827,6461,411
RICARDO ISD,Texas,4836930,672,7189000,2161000,4554000,474000,7021000,10698,3216,6777,705
UNIVERSAL LEARNING ACADEMY,Michigan,2600300,672,6204000,35000,5392000,777000,6131000,9232,52,8024,1156
WESTERN RESERVE LOCAL,Ohio,3904839,672,8520000,5322000,2886000,312000,8133000,12679,7920,4295,464
BENTON AREA SD,Pennsylvania,4203390,671,11999000,5882000,5702000,415000,11244000,17882,8766,8498,618
FAIRPORT HARBOR EXEMPTED VILLAGE,Ohio,3904536,671,7296000,4601000,2339000,356000,6873000,10873,6857,3486,531
GRUNDY CENTER COMM SCHOOL DISTRICT,Iowa,1913290,671,8331000,3828000,4184000,319000,7959000,12416,5705,6235,475
RUSHFORD-PETERSON PUBLIC SCHOOLS,Minnesota,2728290,671,9466000,2903000,6225000,338000,21411000,14107,4326,9277,504
SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT,New York,3627570,671,17645000,8012000,8970000,663000,18343000,26297,11940,13368,988
UP ACADEMY CHARTER SCHOOL OF DORCHESTER (DISTRICT),Massachusetts,2500549,671,,,,,,,,,
BOTKINS LOCAL,Ohio,3904976,670,7959000,4953000,2665000,341000,9285000,11879,7393,3978,509
FERNDALE AREA SD,Pennsylvania,4209750,670,10998000,2499000,7868000,631000,11640000,16415,3730,11743,942
HIGHLAND COMM SCHOOL DISTRICT,Iowa,1914010,670,10502000,5896000,4317000,289000,9123000,15675,8800,6443,431
MASON ISD,Texas,4829280,670,8554000,4404000,3531000,619000,8209000,12767,6573,5270,924
MILAN C-2,Missouri,2920940,670,7275000,2900000,3524000,851000,6724000,10858,4328,5260,1270
NORTH CALDWELL SCHOOL DISTRICT,New Jersey,3411520,670,14416000,12577000,1635000,204000,13224000,21516,18772,2440,304
OSAGE CITY,Kansas,2010230,670,7948000,1306000,6321000,321000,7915000,11863,1949,9434,479
PEKIN COMM SCHOOL DISTRICT,Iowa,1922440,670,8530000,4017000,4162000,351000,7651000,12731,5996,6212,524
SHREVEPORT CHARTER SCHOOL INC.,Louisiana,2200142,670,7429000,2982000,3544000,903000,6910000,11088,4451,5290,1348
SUNDOWN ISD,Texas,4841850,670,17715000,11989000,5426000,300000,17231000,26440,17894,8099,448
TOWNSEND K-12 SCHOOLS,Montana,3004980,670,7456000,3472000,3505000,479000,6990000,11128,5182,5231,715
LEAD CHARTER SCHOOLS,Arizona,400395,669,5239000,270000,4689000,280000,4173000,7831,404,7009,419
LEADERSHIP PREPARATORY BROWNSVILLE CHARTER SCHOOL,New York,3601016,669,,,,,,,,,
MACCRAY SCHOOL DISTRICT,Minnesota,2700091,669,9852000,2921000,6601000,330000,9658000,14726,4366,9867,493
SOCRATES ACADEMY,North Carolina,3700137,669,5343000,1800000,3417000,126000,5421000,7987,2691,5108,188
BRIGANTINE PUBLIC SCHOOL DISTRICT,New Jersey,3402340,668,23035000,17189000,5118000,728000,22801000,34484,25732,7662,1090
DEERFIELD SCHOOL DISTRICT,New Hampshire,3302580,668,11858000,8514000,2913000,431000,11818000,17751,12746,4361,645
GRAND CENTER ARTS ACADEMY,Missouri,2900595,668,8100000,1414000,5891000,795000,6972000,12126,2117,8819,1190
MANSON SCHOOL DISTRICT,Washington,5304740,668,9666000,2202000,6416000,1048000,9558000,14470,3296,9605,1569
POPLAR ELEM,Montana,3021240,668,9747000,1716000,3602000,4429000,10431000,14591,2569,5392,6630
SPAULDING UHSD #41,Vermont,5000002,668,16735000,1457000,15013000,265000,18212000,25052,2181,22475,397
BERESFORD SCHOOL DISTRICT 61-2,South Dakota,4606360,667,6940000,4205000,2237000,498000,7963000,10405,6304,3354,747
EPSOM SCHOOL DISTRICT,New Hampshire,3302910,667,9710000,5965000,3514000,231000,9758000,14558,8943,5268,346
FLANDREAU SCHOOL DISTRICT 50-3,South Dakota,4624390,667,7494000,3812000,2824000,858000,7495000,11235,5715,4234,1286
FILLMORE CENTRAL SCHOOL DISTRICT,New York,3611070,666,14788000,2462000,11590000,736000,16118000,22204,3697,17402,1105
HOT SPRINGS COUNTY SCHOOL DISTRICT #1,Wyoming,5603310,666,12624000,7827000,3619000,1178000,13431000,18955,11752,5434,1769
POINT PLEASANT BEACH SCHOOL DISTRICT,New Jersey,3413320,666,20180000,17498000,2234000,448000,17595000,30300,26273,3354,673
SERENA CUSD 2,Illinois,1715880,666,11187000,7803000,3019000,365000,10626000,16797,11716,4533,548
VILLA GROVE CUSD 302,Illinois,1740320,666,8077000,3501000,4233000,343000,7172000,12128,5257,6356,515
ACHIEVEMENT PREPARATORY ACADEMY PCS,District of Columbia,1100072,665,12765000,11975000,0,790000,32557000,19195,18008,0,1188
CARDINAL COMM SCHOOL DISTRICT,Iowa,1906240,665,9185000,4058000,4398000,729000,15246000,13812,6102,6614,1096
CLAY LOCAL,Ohio,3910026,665,7942000,3530000,3848000,564000,6898000,11943,5308,5786,848
CROSS COUNTY SCHOOL DISTRICT,Arkansas,507740,665,7919000,2843000,3889000,1187000,8522000,11908,4275,5848,1785
ERIE CUSD 1,Illinois,1714350,665,14939000,11909000,2812000,218000,13391000,22465,17908,4229,328
EUREKA SPRINGS SCHOOL DISTRICT,Arkansas,505970,665,9693000,7881000,969000,843000,8424000,14576,11851,1457,1268
IN MATH & SCIENCE ACADEMY - NORTH,Indiana,1800094,665,6296000,118000,5129000,1049000,6252000,9468,177,7713,1577
JOHNSON CREEK SCHOOL DISTRICT,Wisconsin,5507170,665,10421000,5461000,4509000,451000,25010000,15671,8212,6780,678
OZARK MOUNTAIN SCHOOL DISTRICT,Arkansas,500076,665,8917000,2330000,5490000,1097000,8433000,13409,3504,8256,1650
BRITTON DEERFIELD SCHOOLS,Michigan,2606930,664,7654000,2013000,5383000,258000,7712000,11527,3032,8107,389
NASHUA-PLAINFIELD COMM SCHOOL DISTRICT,Iowa,1920190,664,7937000,3401000,4175000,361000,7311000,11953,5122,6288,544
PEYTON SCHOOL DISTRICT NO. 23 IN THE COUNTY OF EL PASO AND,Colorado,806060,664,6602000,1763000,4610000,229000,6950000,9943,2655,6943,345
STONE CORRAL ELEMENTARY,California,638040,664,10649000,432000,10007000,210000,9403000,16038,651,15071,316
WEBSTER SCHOOL DISTRICT,Wisconsin,5516230,664,10161000,8235000,1112000,814000,9392000,15303,12402,1675,1226
WHEATLAND-CHILI CENTRAL SCHOOL DISTRICT,New York,3631170,664,17956000,8872000,8431000,653000,18838000,27042,13361,12697,983
WINLOCK SCHOOL DISTRICT,Washington,5309930,664,8865000,1606000,6290000,969000,8413000,13351,2419,9473,1459
COUNTRYSIDE ACADEMY,Michigan,2600142,663,6221000,45000,5519000,657000,5814000,9383,68,8324,991
FAIRLAWN LOCAL,Ohio,3904977,663,7506000,4475000,2607000,424000,8016000,11321,6750,3932,640
GRIFFIN SCHOOL DISTRICT,Washington,5303330,663,9990000,4294000,5344000,352000,8741000,15068,6477,8060,531
HARRIET TUBMAN CHARTER SCHOOL,New York,3600048,663,,,,,,,,,
RSU 50,Maine,2314806,663,10749000,4168000,5499000,1082000,10382000,16213,6287,8294,1632
STARMONT COMM SCHOOL DISTRICT,Iowa,1927270,663,8888000,3860000,4340000,688000,7975000,13406,5822,6546,1038
BELLOWS FREE ACADEMY UHSD #48,Vermont,5000025,662,19197000,4556000,14641000,0,18574000,28998,6882,22116,0
CONESTOGA PUBLIC SCHOOLS,Nebraska,3174200,662,10223000,8538000,1424000,261000,8897000,15443,12897,2151,394
HOLLOW ROCK - BRUCETON,Tennessee,4701890,662,5861000,1356000,3682000,823000,5312000,8853,2048,5562,1243
RICHFIELD PUBLIC SCHOOL ACADEMY,Michigan,2600286,662,6449000,114000,5445000,890000,6806000,9742,172,8225,1344
RIDGEDALE LOCAL,Ohio,3904843,662,8745000,5092000,3164000,489000,8795000,13210,7692,4779,739
ROGERSVILLE,Tennessee,4703660,662,6035000,2181000,3304000,550000,6061000,9116,3295,4991,831
UNION RIDGE SD 86,Illinois,1739780,662,8775000,5918000,2418000,439000,8690000,13255,8940,3653,663
WOLFE CITY ISD,Texas,4846350,662,8018000,1588000,5714000,716000,6780000,12112,2399,8631,1082
ALBANY COMMUNITY CHARTER SCHOOL,New York,3600162,661,,,,,,,,,
BOSQUEVILLE ISD,Texas,4810910,661,7895000,2637000,4775000,483000,7402000,11944,3989,7224,731
CRANE R-III,Missouri,2910290,661,6431000,2282000,3387000,762000,7212000,9729,3452,5124,1153
KITTITAS SCHOOL DISTRICT,Washington,5304050,661,8319000,2341000,5524000,454000,7627000,12585,3542,8357,687
LAUREL H S,Montana,3016230,661,6542000,3047000,3454000,41000,7127000,9897,4610,5225,62
MOUNT ABRAHAM UHSD #28,Vermont,5008235,661,14144000,287000,13857000,0,14130000,21398,434,20964,0
OKLAHOMA UNION,Oklahoma,4000021,661,6305000,1900000,3704000,701000,6121000,9539,2874,5604,1061
ACADEMY FOR BUSINESS AND TECHNOLOGY,Michigan,2600166,660,6665000,185000,5297000,1183000,6648000,10098,280,8026,1792
BRECKENRIDGE PUBLIC SCHOOL DISTRICT,Minnesota,2706150,660,9242000,2635000,6155000,452000,14565000,14003,3992,9326,685
BRIGHT LOCAL,Ohio,3904761,660,9252000,2822000,5700000,730000,8119000,14018,4276,8636,1106
CONVERSE COUNTY SCHOOL DISTRICT #2,Wyoming,5602150,660,12404000,10842000,886000,676000,12473000,18794,16427,1342,1024
DAVID CITY PUBLIC SCHOOLS,Nebraska,3100002,660,12858000,10643000,1630000,585000,13077000,19482,16126,2470,886
JUNCTION CITY SCHOOL DISTRICT,Arkansas,508340,660,6491000,3271000,2603000,617000,9802000,9835,4956,3944,935
MARTHA'S VINEYARD,Massachusetts,2507380,660,23492000,17023000,5186000,1283000,22715000,35594,25792,7858,1944
NEOGA CUSD 3,Illinois,1727840,660,7950000,3373000,4166000,411000,6635000,12045,5111,6312,623
PACT CHARTER SCHOOL,Minnesota,2700093,660,7269000,191000,6883000,195000,7471000,11014,289,10429,295
PEMI-BAKER REGIONAL SCHOOL DISTRICT,New Hampshire,3399965,660,13574000,8453000,4491000,630000,13436000,20567,12808,6805,955
VASSALBORO PUBLIC SCHOOLS,Maine,2313110,660,8268000,3555000,4174000,539000,8417000,12527,5386,6324,817
FAIRFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,3405040,659,11095000,1513000,8546000,1036000,10571000,16836,2296,12968,1572
HARRINGTON PARK SCHOOL DISTRICT,New Jersey,3406840,659,13483000,11436000,1888000,159000,13588000,20460,17354,2865,241
JULESBURG SCHOOL DISTRICT NO. RE1,Colorado,804860,659,5742000,1864000,3790000,88000,4997000,8713,2829,5751,134
KINGSTON COMMUNITY SCHOOL DISTRICT,Michigan,2620400,659,6774000,1159000,5159000,456000,6310000,10279,1759,7829,692
MANSFIELD TOWNSHIP ELEMENTARY SCHOOL DISTRICT,New Jersey,3409540,659,11496000,5967000,5075000,454000,14803000,17445,9055,7701,689
MORGAN CO. R-I,Missouri,2929610,659,6886000,3959000,2002000,925000,6301000,10449,6008,3038,1404
RSD-BETTER CHOICE FOUNDATION,Louisiana,2200171,659,6525000,3417000,2242000,866000,6694000,9901,5185,3402,1314
SANTA ROSA CONSOLIDATED SCHOOLS,New Mexico,3502400,659,8772000,1247000,6671000,854000,8244000,13311,1892,10123,1296
WINCHESTER CUSD 1,Illinois,1742660,659,6678000,2389000,3939000,350000,6547000,10134,3625,5977,531
BLACKLICK VALLEY SD,Pennsylvania,4203690,658,10018000,2052000,7404000,562000,11282000,15225,3119,11252,854
BOYDEN-HULL COMM SCHOOL DISTRICT,Iowa,1905190,658,8579000,3794000,4447000,338000,8290000,13038,5766,6758,514
BRONX LIGHTHOUSE CHARTER SCHOOL,New York,3600111,658,,,,,,,,,
L'ANSE AREA SCHOOLS,Michigan,2600018,658,7684000,2383000,4445000,856000,7126000,11678,3622,6755,1301
UNIVERSITY HEIGHTS CHARTER SCHOOL,New Jersey,3400084,658,11856000,1684000,9315000,857000,11159000,18018,2559,14157,1302
EUREKA,Kansas,2006120,657,9091000,1624000,6752000,715000,8036000,13837,2472,10277,1088
QUAKER DIGITAL ACADEMY,Ohio,3900252,657,4743000,104000,4311000,328000,4016000,7219,158,6562,499
ROSEBUD-LOTT ISD,Texas,4837900,657,8256000,2109000,5417000,730000,7484000,12566,3210,8245,1111
COCHRANE-FOUNTAIN CITY SCHOOL DISTRICT,Wisconsin,5502700,656,8732000,4138000,4138000,456000,7818000,13311,6308,6308,695
FIVE TOWN CSD,Maine,2300053,656,13715000,11242000,2166000,307000,11589000,20907,17137,3302,468
RIVERCREST ISD,Texas,4842120,656,7370000,2820000,4110000,440000,6921000,11235,4299,6265,671
ROCHELLE PARK SCHOOL DISTRICT,New Jersey,3414070,656,14127000,12049000,1788000,290000,16624000,21535,18367,2726,442
WELLSTON,Oklahoma,4032280,656,5166000,1577000,2992000,597000,5281000,7875,2404,4561,910
WEST GREENE SD,Pennsylvania,4225440,656,17841000,11261000,5772000,808000,19115000,27197,17166,8799,1232
BREESE ESD 12,Illinois,1707010,655,5284000,2938000,2008000,338000,4913000,8067,4485,3066,516
GLENBURN PUBLIC SCHOOLS,Maine,2306000,655,8410000,3614000,4490000,306000,8440000,12840,5518,6855,467
GOLF ESD 67,Illinois,1726820,655,13539000,10082000,3275000,182000,11946000,20670,15392,5000,278
JENKINTOWN SD,Pennsylvania,4212420,655,14813000,11940000,2769000,104000,15405000,22615,18229,4227,159
LEIPSIC LOCAL,Ohio,3904935,655,9237000,3685000,4927000,625000,7074000,14102,5626,7522,954
REEDSPORT SD 105,Oregon,4110410,655,9482000,3718000,4656000,1108000,8549000,14476,5676,7108,1692
STAMFORD ISD,Texas,4841400,655,9684000,1627000,6040000,2017000,9600000,14785,2484,9221,3079
ASOTIN-ANATONE SCHOOL DISTRICT,Washington,5300280,654,7869000,1881000,5585000,403000,7840000,12032,2876,8540,616
BATON ROUGE CHARTER ACADEMY AT MID-CITY,LOUISIANA,2200269,654,7980000,4523000,2686000,771000,7869000,12202,6916,4107,1179
BELLE PLAINE,Kansas,2003900,654,8151000,1521000,6324000,306000,8239000,12463,2326,9670,468
CUSD 4,Illinois,1725590,654,8035000,3209000,4491000,335000,7736000,12286,4907,6867,512
DIBBLE,Oklahoma,4009870,654,5482000,1560000,3359000,563000,5111000,8382,2385,5136,861
FORT CALHOUN COMMUNITY SCHS,Nebraska,3170650,654,9015000,5304000,3393000,318000,11800000,13784,8110,5188,486
LAKE MILLS COMM SCHOOL DISTRICT,Iowa,1916110,654,8734000,4225000,4051000,458000,8800000,13355,6460,6194,700
LEBANON TOWNSHIP SCHOOL DISTRICT,New Jersey,3408460,654,14283000,10159000,3893000,231000,13895000,21839,15534,5953,353
LOCKPORT SD 91,Illinois,1709210,654,9075000,5885000,2792000,398000,8082000,13876,8998,4269,609
SOUTH HENRY SCHOOL CORP,Indiana,1810380,654,8571000,2065000,6147000,359000,7995000,13106,3157,9399,549
VAN BUREN COMM SCHOOL DISTRICT,Iowa,1928980,654,8637000,3629000,4263000,745000,11723000,13206,5549,6518,1139
APPLETREE EARLY LEARNING PCS,District of Columbia,1100054,653,14152000,13080000,0,1072000,14455000,21672,20031,0,1642
HAVERHILL COOPERATIVE SCHOOL DISTRICT,New Hampshire,3303660,653,14156000,7867000,5499000,790000,13716000,21678,12047,8421,1210
PARAMOUNT SCHOOL OF EXCELLENCE INC,Indiana,1800086,653,7048000,622000,5086000,1340000,6330000,10793,953,7789,2052
PIERCE PUBLIC SCHOOLS,Nebraska,3175510,653,8863000,7341000,1267000,255000,8368000,13573,11242,1940,391
PLEMONS-STINNETT-PHILLIPS CISD,Texas,4841580,653,18932000,15852000,2604000,476000,18588000,28992,24276,3988,729
RECTOR SCHOOL DISTRICT,Arkansas,504370,653,6236000,1974000,3411000,851000,5789000,9550,3023,5224,1303
RSU 37/MSAD 37,Maine,2311430,653,9079000,5698000,2564000,817000,9000000,13904,8726,3926,1251
CALHOUN COUNTY,Georgia,1300750,652,8591000,3166000,4328000,1097000,7960000,13176,4856,6638,1683
EASTON VALLEY COMM SCHOOL DISTRICT,Iowa,1910130,652,8567000,3568000,4642000,357000,13088000,13140,5472,7120,548
FAYETTE R-III,Missouri,2911990,652,6210000,3423000,2302000,485000,6192000,9525,5250,3531,744
HARTLEY-MELVIN-SANBORN COMM SCHOOL DISTRICT,Iowa,1913660,652,9073000,4590000,4130000,353000,8402000,13916,7040,6334,541
MAHNOMEN PUBLIC SCHOOL DISTRICT,Minnesota,2718660,652,10753000,900000,7433000,2420000,10509000,16492,1380,11400,3712
ROCK FALLS TWP HSD 301,Illinois,1734380,652,10284000,5925000,3967000,392000,10169000,15773,9087,6084,601
SHORE REGIONAL HIGH SCHOOL DISTRICT,New Jersey,3414940,652,17288000,14691000,2321000,276000,17694000,26515,22532,3560,423
ALAMO,Tennessee,4700030,651,4878000,582000,3979000,317000,4697000,7493,894,6112,487
BOTTINEAU 1,North Dakota,3803060,651,10634000,3897000,6234000,503000,9843000,16335,5986,9576,773
EDISON LEARNING ROOSEVELT,Indiana,1800119,651,7347000,113000,5523000,1711000,7623000,11286,174,8484,2628
HARWOOD UHSD #19,Vermont,5004580,651,15738000,846000,14870000,22000,16028000,24175,1300,22842,34
JUNCTION ISD,Texas,4825020,651,6892000,3694000,2756000,442000,6745000,10587,5674,4233,679
PANHANDLE ISD,Texas,4834230,651,14542000,13066000,1107000,369000,8593000,22338,20071,1700,567
RANDALL J1 SCHOOL DISTRICT,Wisconsin,5512390,651,8283000,6169000,1827000,287000,7926000,12724,9476,2806,441
RANDOLPH PUBLIC SCHOOL DISTRICT,Minnesota,2730150,651,7457000,1793000,5266000,398000,7628000,11455,2754,8089,611
RICHGROVE ELEMENTARY,California,632430,651,12195000,1001000,10067000,1127000,11253000,18733,1538,15464,1731
ROBERT TREAT ACADEMY CHARTER SCHOOL,New Jersey,3400025,651,11467000,1583000,8953000,931000,11323000,17614,2432,13753,1430
SANKOFA FREEDOM ACADEMY CHARTER SCHOOL,Pennsylvania,4200816,651,7712000,7115000,48000,549000,7573000,11846,10929,74,843
FAIRFIELD PUBLIC SCHOOLS SCHOOL DISTRICT,New Jersey,3405010,650,12569000,10707000,1671000,191000,12530000,19337,16472,2571,294
MILFORD AREA PSD 124,ILLINOIS,1701416,650,9877000,5643000,3826000,408000,11417000,15195,8682,5886,628
PREEMINENT CHARTER SCHOOL,North Carolina,3700113,650,5121000,1459000,3461000,201000,5491000,7878,2245,5325,309
FREMONT COUNTY SCHOOL DISTRICT #14,Wyoming,5604450,649,33866000,1361000,20779000,11726000,27600000,52182,2097,32017,18068
IL MATHEMATICS & SCIENCE ACADEMY,Illinois,1700101,649,,,,,,,,,
PERSHING COUNTY SCHOOL DISTRICT,Nevada,3200420,649,13060000,4732000,7361000,967000,12587000,20123,7291,11342,1490
SCOTLAND CO. R-I,Missouri,2920700,649,6797000,3794000,2286000,717000,6391000,10473,5846,3522,1105
SOUTH CENTRAL CUD 401,Illinois,1700114,649,7340000,2727000,3886000,727000,11600000,11310,4202,5988,1120
UNION GAP SCHOOL DISTRICT,Washington,5309150,649,8641000,1972000,5542000,1127000,7318000,13314,3039,8539,1737
CENTER CONSOLIDATED SCHOOL DISTRICT NO. 26 JT. OF THE COUNT,Colorado,802850,648,8813000,2029000,5349000,1435000,8279000,13600,3131,8255,2215
HAMILTON R-II,Missouri,2913590,648,7508000,3806000,3121000,581000,6892000,11586,5873,4816,897
PAWNEE CUSD 11,Illinois,1730930,648,7370000,5080000,2091000,199000,7289000,11373,7840,3227,307
ROOSEVELT CHILDREN'S ACADEMY CHARTER SCHOOL,New York,3600030,648,,,,,,,,,
SOUTHWESTERN CON SCH SHELBY CO,Indiana,1810830,648,7987000,2998000,4680000,309000,6699000,12326,4627,7222,477
THRALL ISD,Texas,4842660,648,6861000,2847000,3804000,210000,9613000,10588,4394,5870,324
JANESVILLE-WALDORF-PEMBERTON,Minnesota,2791451,647,9427000,3362000,5589000,476000,8378000,14570,5196,8638,736
LAFAYETTE COUNTY SCHOOL DISTRICT,Arkansas,500065,647,7465000,2527000,3925000,1013000,8704000,11538,3906,6066,1566
LAKE PLACID CENTRAL SCHOOL DISTRICT,New York,3616500,647,18919000,15233000,3109000,577000,17457000,29241,23544,4805,892
SCOTT VALLEY UNIFIED,California,600159,647,9621000,3449000,5349000,823000,9727000,14870,5331,8267,1272
ARGOS COMMUNITY SCHOOLS,Indiana,1800180,646,7414000,2121000,4732000,561000,6837000,11477,3283,7325,868
DANVILLE LOCAL,Ohio,3904783,646,9442000,4031000,4371000,1040000,8096000,14616,6240,6766,1610
ELDORA-NEW PROVIDENCE COMM SCHOOL DISTRICT,Iowa,1910690,646,9936000,4468000,5029000,439000,8797000,15381,6916,7785,680
NEW LISBON SCHOOL DISTRICT,Wisconsin,5510560,646,9027000,4453000,3887000,687000,8449000,13974,6893,6017,1063
PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,Texas,4800029,646,7249000,30000,6526000,693000,6646000,11221,46,10102,1073
THE NEW STANDARD ACADEMY,Michigan,2601018,646,5993000,57000,5053000,883000,5969000,9277,88,7822,1367
ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,New York,3602700,645,12902000,4399000,7949000,554000,11926000,20003,6820,12324,859
BUNKER HILL CUSD 8,Illinois,1707770,645,6600000,2295000,3878000,427000,6653000,10233,3558,6012,662
MARCELINE R-V,Missouri,2920050,645,6876000,3762000,2579000,535000,8521000,10660,5833,3998,829
MAYVILLE COMMUNITY SCHOOL DISTRICT,Michigan,2623280,645,7345000,1772000,4888000,685000,7202000,11388,2747,7578,1062
NEW ORLEANS MILITARY & MARITIME ACADEMY,Louisiana,2200160,645,8122000,4588000,2718000,816000,7730000,12592,7113,4214,1265
NORTH CLAY CUSD 25,Illinois,1728810,645,7043000,2044000,4584000,415000,6447000,10919,3169,7107,643
SOUTH O'BRIEN COMM SCHOOL DISTRICT,Iowa,1900026,645,9486000,5156000,3938000,392000,8770000,14707,7994,6105,608
YREKA UNION HIGH,California,643410,645,9819000,4103000,5110000,606000,11403000,15223,6361,7922,940
ALTO ISD,Texas,4807980,644,7530000,1768000,5176000,586000,6645000,11693,2745,8037,910
ARISTOI CLASSICAL ACADEMY,Texas,4800019,644,5550000,177000,5219000,154000,4234000,8618,275,8104,239
EARLE SCHOOL DISTRICT,Arkansas,505550,644,7835000,1296000,5143000,1396000,7784000,12166,2012,7986,2168
FOSSTON PUBLIC SCHOOL DISTRICT,Minnesota,2712300,644,8508000,1560000,6593000,355000,12470000,13211,2422,10238,551
GRAND RIVER ACADEMY,MICHIGAN,2601082,644,5984000,485000,4915000,584000,5978000,9292,753,7632,907
QUITMAN SCHOOL DISTRICT,Arkansas,511880,644,7599000,6065000,877000,657000,6934000,11800,9418,1362,1020
FREEBURG CHSD 77,Illinois,1715840,643,7892000,5315000,2347000,230000,8818000,12274,8266,3650,358
HAMILTON CNTY MATH & SCIENCE,Ohio,3900121,643,,,,,,,,,
JUNIPER TREE ACADEMY,Arizona,400268,643,4988000,460000,3909000,619000,5030000,7757,715,6079,963
LAKIN,Kansas,2008280,643,8070000,2259000,5271000,540000,7817000,12551,3513,8198,840
NORTHWOOD SCHOOL DISTRICT,New Hampshire,3305430,643,11643000,7675000,3780000,188000,11307000,18107,11936,5879,292
TIPTON R-VI,Missouri,2930330,643,6440000,3589000,2282000,569000,6925000,10016,5582,3549,885
TOPSFIELD,Massachusetts,2511670,643,11171000,8741000,2063000,367000,10673000,17373,13594,3208,571
WEST HANCOCK COMM SCHOOL DISTRICT,Iowa,1905430,643,8195000,3889000,3786000,520000,7549000,12745,6048,5888,809
CHRISTEL HOUSE ACADEMY SOUTH,Indiana,1800018,642,8074000,1513000,4928000,1633000,7482000,12576,2357,7676,2544
GOODHUE PUBLIC SCHOOL DISTRICT,Minnesota,2712900,642,7579000,2194000,5211000,174000,7527000,11805,3417,8117,271
HANLEY INTERNATIONAL ACADEMY,Michigan,2600305,642,6675000,206000,5486000,983000,6403000,10397,321,8545,1531
NC LEADERSHIP CHARTER ACADEMY,North Carolina,3700343,642,5162000,1697000,3376000,89000,4469000,8040,2643,5259,139
NEWARK LEGACY CHARTER SCHOOL,New Jersey,3400736,642,12235000,1481000,9448000,1306000,11587000,19058,2307,14717,2034
QUAPAW,Oklahoma,4025320,642,5446000,1030000,3245000,1171000,5365000,8483,1604,5055,1824
SILVIS SD 34,Illinois,1736360,642,7601000,3483000,3355000,763000,6920000,11840,5425,5226,1188
SOUTH PEMISCOT CO. R-V,Missouri,2928530,642,6521000,2550000,3294000,677000,6163000,10157,3972,5131,1055
TERRA ACADEMY,UTAH,4900179,642,4210000,180000,3836000,194000,3652000,6558,280,5975,302
TRIANGLE MATH AND SCIENCE ACADEMY,North Carolina,3700324,642,5148000,1846000,3224000,78000,4837000,8019,2875,5022,121
VALDEZ CITY SCHOOL DISTRICT,Alaska,200780,642,19370000,10980000,7807000,583000,18570000,30171,17103,12160,908
WESTRAN R-I,Missouri,2931860,642,8768000,7360000,799000,609000,8722000,13657,11464,1245,949
ANDREW J BROWN ACADEMY,Indiana,1800042,641,6140000,5000,4711000,1424000,4844000,9579,8,7349,2222
DECATUR SCHOOL DISTRICT,Arkansas,504980,641,7353000,2512000,3808000,1033000,6760000,11471,3919,5941,1612
LYNDONVILLE CENTRAL SCHOOL DISTRICT,New York,3617970,641,13758000,3881000,9258000,619000,12750000,21463,6055,14443,966
MANSFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,3409510,641,13286000,11303000,1772000,211000,12139000,20727,17633,2764,329
MARVIN L. WINANS ACADEMY OF PERFORMING ARTS,Michigan,2600169,641,6649000,272000,5755000,622000,6154000,10373,424,8978,970
SHASTA COUNTY OFFICE OF EDUCATION,California,691037,641,62474000,15481000,34487000,12506000,60863000,97463,24151,53802,19510
SIOUX VALLEY SCHOOL DISTRICT 05-5,South Dakota,4666300,641,6707000,4014000,2335000,358000,6326000,10463,6262,3643,559
TRI-COUNTY AREA SCHOOL DISTRICT,Wisconsin,5511820,641,8673000,3916000,4091000,666000,8515000,13530,6109,6382,1039
BERLIN TOWNSHIP SCHOOL DISTRICT,New Jersey,3401620,640,16976000,9304000,7068000,604000,16533000,26525,14538,11044,944
BLACKDUCK PUBLIC SCHOOL DISTRICT,Minnesota,2705730,640,8979000,1277000,7143000,559000,9232000,14030,1995,11161,873
CARBON COUNTY SCHOOL DISTRICT #2,Wyoming,5601700,640,17692000,5555000,11475000,662000,18094000,27644,8680,17930,1034
